,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-04-20,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2871.351428571429,2873.7157142857145,2981.5014285714287,2953.382857142857,715.0,927.0,139.0
2018-04-21,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2869.797142857143,2866.4114285714286,2981.9871428571428,2958.1357142857146,759.0,865.0,134.0
2018-04-22,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2868.502857142857,2860.3114285714287,2985.0242857142853,2951.5385714285717,777.0,1066.0,118.0
2018-04-23,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,1.0,0.0,0.0,0.0,0.0,2867.404285714286,2857.761428571429,2988.637142857143,2934.945714285714,838.0,1129.0,86.0
2018-04-24,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2865.6585714285716,2861.375714285714,2986.4557142857143,2914.912857142857,818.0,1031.0,173.0
2018-04-25,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2863.912857142857,2860.865714285714,2974.9599999999996,2906.588571428572,835.0,911.0,155.0
2018-04-26,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2862.1671428571426,2860.355714285714,2965.2028571428573,2898.2642857142855,827.0,882.0,158.0
2018-04-27,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2861.1314285714284,2859.845714285714,2955.445714285714,2889.94,740.0,854.0,152.0
2018-04-28,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2861.6071428571427,2859.3814285714284,2945.6885714285713,2887.7585714285715,904.0,794.0,366.0
2018-04-29,,,-0.4999999999999998,0.8660254037844387,-0.4647231720437685,0.8854560256532099,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2859.7328571428566,2858.5128571428572,2934.917142857143,2900.4085714285716,950.0,886.0,279.0
2018-04-30,,,-0.4999999999999998,0.8660254037844387,-0.5680647467311557,0.8229838658936565,1.0,0.0,0.0,0.0,1.0,2856.6871428571426,2857.084285714286,2921.651428571429,2919.304285714286,829.0,1043.0,227.0
2018-05-01,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,0.6234898018587336,0.7818314824680298,1.0,0.0,1.0,2854.6228571428574,2857.371428571429,2916.5385714285717,2932.5,686.0,1001.0,327.0
2018-05-02,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,-0.22252093395631434,0.9749279121818236,0.0,1.0,1.0,2852.558571428571,2861.594285714286,2916.151428571429,2940.684285714285,768.0,1018.0,208.0
2018-05-03,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,-0.900968867902419,0.43388373911755823,0.0,0.0,1.0,2850.4942857142855,2865.817142857143,2914.3528571428574,2948.8685714285716,633.0,973.0,332.0
2018-05-04,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,-0.9009688679024191,-0.433883739117558,0.0,0.0,1.0,2850.5857142857144,2870.0400000000004,2912.554285714286,2957.052857142857,656.0,1084.0,434.0
2018-05-05,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,-0.2225209339563146,-0.9749279121818236,0.0,0.0,1.0,2853.2342857142858,2871.351428571429,2910.7557142857145,2955.0371428571425,849.0,1113.0,321.0
